urim,urir
1,30
10,5
100,3
103,3
104,1
106,1
108,1
11,2
110,2
113,2
114,1
116,1
117,1
119,3
12,1
120,1
122,1
126,1
127,1
128,1
13,2
130,1
131,2
136,1
138,1
14,5
143,1
145,1
146,3
15,6
150,1
151,1
152,1
155,1
158,1
16,6
160,1
162,1
163,1
165,1
167,1
169,3
17,2
173,1
177,1
178,1
18,3
180,1
182,1
183,1
186,1
187,2
188,1
189,2
19,2
191,1
2,22
20,3
202,1
204,2
205,1
21,2
217,2
218,2
219,1
22,3
228,1
23,3
230,1
232,1
233,2
236,2
239,1
24,2
244,1
246,1
25,3
251,1
254,1
258,1
259,1
26,3
261,1
266,1
268,1
269,1
27,2
275,1
278,1
28,2
280,1
291,1
293,1
297,1
298,2
299,1
3,10
30,1
300,1
31,2
318,1
319,1
32,2
327,1
33,3
34,2
35,1
353,1
355,1
356,1
36,3
365,1
37,4
370,1
373,1
374,1
38,3
387,1
388,1
39,1
4,7
40,3
405,1
41,2
415,2
416,1
42,5
425,1
43,2
434,1
436,1
44,1
448,1
45,3
451,1
453,1
46,1
477,1
483,1
486,1
494,1
5,4
502,1
51,1
518,1
52,1
522,1
53,2
531,1
54,2
546,1
548,1
55,3
57,3
575,1
577,1
578,1
579,1
583,1
59,2
598,1
6,4
607,1
61,2
612,1
618,1
62,1
620,1
627,2
63,1
631,1
649,1
66,2
660,1
668,1
67,2
671,1
679,1
69,2
7,2
70,2
708,1
712,1
725,1
726,1
73,4
733,1
736,1
74,2
745,1
752,1
76,1
763,1
77,1
775,1
78,2
784,1
79,1
794,1
8,6
80,2
804,1
82,1
83,1
830,1
84,2
85,1
851,1
855,1
86,1
860,1
87,3
88,2
888,1
889,1
89,2
895,1
9,4
90,1
907,1
91,2
92,5
921,1
93,1
931,1
938,1
947,1
95,1
954,2
960,1
97,1
984,1
985,1
99,1
993,1
994,1
997,1
