url,carbon_date,age,,urims
adhere.lk,2019-10-23 0:00:00,1125,,42
agaram.lk,2015-05-14 0:00:00,2748,,78
agrarianvav.lk,2018-12-03 0:00:00,1449,,16
ahmadtea.lk,2021-01-19 0:00:00,671,,15
airport.lk,2000-08-16 0:00:00,8132,,607
airtel.lk,2007-05-13 0:00:00,5671,,947
aithiya.lk,2014-06-10 0:00:00,3086,,183
akaza.lk,2014-12-31 0:00:00,2882,,24
akbar.com,1997-09-20 0:00:00,9193,,660
alphabusiness.lk,2019-07-31 0:00:00,1209,,16
anybanq.lk,2021-08-05 0:00:00,473,,16
apictures.lk,2016-01-09 0:00:00,2508,,43
apiit.lk,2000-01-04 0:00:00,8357,,355
appleasia.lk,2018-07-03 0:00:00,1602,,39
applications.lk,2017-01-04 0:00:00,2147,,182
architectssrilanka.org,2009-11-28 0:00:00,4741,,37
