url,urim_total,carbon_date,age,cd_year
3cs.lk,486,2012-03-25 0:00:00,3900,2012 
abansit.lk,92,2017-01-14 0:00:00,2144,2017 
ada.lk,1557,2012-01-02 0:00:00,3983,2012 
adaderana.lk,15483,2008-09-29 0:00:00,5173,2008 
adhere.lk,42,2019-10-23 0:00:00,1132,2019 
agaram.lk,78,2015-05-14 0:00:00,2755,2015 
agrarianvav.lk,16,2018-12-03 0:00:00,1456,2018 
ahmadtea.lk,15,2021-01-19 0:00:00,678,2021 
airport.lk,607,2000-08-16 0:00:00,8139,2000 
airtel.lk,947,2007-05-13 0:00:00,5678,2007 
aithiya.lk,183,2014-06-10 0:00:00,3093,2014 
akaza.lk,24,2014-12-31 0:00:00,2889,2014 
akbar.com,660,1997-09-20 0:00:00,9200,1997 
alphabusiness.lk,16,2019-07-31 0:00:00,1216,2019 
anybanq.lk,16,2021-08-05 0:00:00,480,2021 
apictures.lk,43,2016-01-09 0:00:00,2515,2016 
apiit.lk,355,2000-01-04 0:00:00,8364,2000 
appleasia.lk,39,2018-07-03 0:00:00,1609,2018 
applications.lk,182,2017-01-04 0:00:00,2154,2017 
architectssrilanka.org,37,2009-11-28 0:00:00,4748,2009 
aruna.lk,293,2018-08-03 0:00:00,1578,2018 
asiangrammar.lk,89,2012-09-04 0:00:00,3737,2012 
asianmirror.lk,502,2011-04-28 0:00:00,4232,2011 
asiasecurities.lk,127,2010-06-15 0:00:00,4549,2010 
asirihardware.lk,18,2021-04-16 0:00:00,591,2021 
atimes.com,29520,1998-11-02 0:00:00,8792,1998 
atimes.com,8,2018-11-08 0:00:00,1481,2018 
aussie.lk,15,2021-04-16 0:00:00,591,2021 
australianwellness.lk,9,2011-01-02 0:00:00,4348,2011 
b2b.lk,73,2013-01-21 0:00:00,3598,2013 
baiscope.lk,122,2013-07-27 0:00:00,3411,2013 
bamgreen.lk,150,1997-12-19 0:00:00,9110,1997 
barclays.lk,620,2017-01-30 0:00:00,2128,2017 
barnhouse.lk,73,2007-02-12 0:00:00,5768,2007 
bata.lk,113,2018-01-28 0:00:00,1765,2018 
bepost.lk,8,2011-04-27 0:00:00,4233,2011 
bookhunter.lk,28,2003-08-07 0:00:00,7053,2003 
britishcouncil.lk,1486,2020-03-28 0:00:00,975,2020 
bu.lk,318,2000-12-08 0:00:00,8025,2000 
budusarana.lk,155,2009-06-20 0:00:00,4909,2009 
buonappetitofoods.lk,61,2017-05-16 0:00:00,2022,2017 
buyserandib.lk,1,2011-12-03 0:00:00,4013,2011 
caa.gov.lk,189,2022-01-20 0:00:00,312,2022 
caa.lk,1007,2010-06-22 0:00:00,4542,2010 
cal.lk,119,2004-09-08 0:00:00,6655,2004 
camerapro.lk,37,2014-12-17 0:00:00,2903,2014 
campusone.lk,4,2015-06-26 0:00:00,2712,2015 
capitaltrust.lk,353,2022-03-10 0:00:00,263,2022 
carbonnews.lk,3,2009-07-04 0:00:00,4895,2009 
careka.lk,41,2022-04-24 0:00:00,218,2022 
casrilanka.com,291,2020-08-06 0:00:00,844,2020 
catchme.lk,405,2011-10-23 0:00:00,4054,2011 
cbsl.gov.lk,2,2007-05-03 0:00:00,5681,2007 
