url,archive,copies
3cs.lk,web.archive.org,486
3cs.lk,archive.md,1
3cs.lk,wayback.archive-it.org,92
3cs.lk,arquivo.pt,4
abansit.lk,web.archive.org,92
abansit.lk,arquivo.pt,2
ada.lk,web.archive.org,1557
ada.lk,archive.md,1
ada.lk,arquivo.pt,794
ada.lk,wayback.archive-it.org,236
adaderana.lk,web.archive.org,15483
adaderana.lk,arquivo.pt,74
adaderana.lk,archive.md,1
adaderana.lk,wayback.archive-it.org,359
adaderana.lk,swap.stanford.edu,10
adaderana.lk,web.archive.org.au,2
adaderana.lk,webarchive.loc.gov,2
adhere.lk,web.archive.org,42
agaram.lk,web.archive.org,78
agaram.lk,arquivo.pt,1
agrarianvav.lk,web.archive.org,16
ahmadtea.lk,web.archive.org,15
airport.lk,web.archive.org,607
airport.lk,webarchive.loc.gov,42
airport.lk,archive.md,1
airport.lk,wayback.archive-it.org,1
airport.lk,arquivo.pt,19
airtel.lk,web.archive.org,947
airtel.lk,wayback.vefsafn.is,1
airtel.lk,swap.stanford.edu,1
airtel.lk,wayback.archive-it.org,1
airtel.lk,webarchive.loc.gov,1
airtel.lk,archive.md,1
airtel.lk,arquivo.pt,15
aithiya.lk,web.archive.org,183
aithiya.lk,archive.md,1
aithiya.lk,arquivo.pt,1
akaza.lk,web.archive.org,24
akbar.com,web.archive.org,660
akbar.com,archive.md,1
akbar.com,arquivo.pt,8
alphabusiness.lk,web.archive.org,16
anybanq.lk,web.archive.org,16
apictures.lk,web.archive.org,43
apiit.lk,web.archive.org,355
apiit.lk,archive.md,1
apiit.lk,arquivo.pt,15
appleasia.lk,web.archive.org,39
appleasia.lk,archive.md,1
applications.lk,web.archive.org,182
applications.lk,arquivo.pt,3
architectssrilanka.org,web.archive.org,37
aruna.lk,web.archive.org,293
aruna.lk,arquivo.pt,2
asiangrammar.lk,web.archive.org,89
asianmirror.lk,web.archive.org,502
asianmirror.lk,archive.md,2
asianmirror.lk,www.webarchive.org.uk,2
asianmirror.lk,webarchive.loc.gov,19
asianmirror.lk,wayback.archive-it.org,7
asianmirror.lk,swap.stanford.edu,10
asianmirror.lk,arquivo.pt,20
asiasecurities.lk,web.archive.org,127
asiasecurities.lk,archive.md,1
asiasecurities.lk,arquivo.pt,6
asirihardware.lk,web.archive.org,18
