tid,year
1266231100780744704,2020-05-29
1275409656488382465,2020-06-23
1297495295266357248,2020-08-23
1301528521752354816,2020-09-03
1301528522582786049,2020-09-03
1304769412759724033,2020-09-12
1313449844413992961,2020-10-06
1315316071243476997,2020-10-11
1320873664296804354,2020-10-26
1323430341512622080,2020-11-03
1323864823680126977,2020-11-04
1324004491612618752,2020-11-04
1324012341458075648,2020-11-04
1324033983882166272,2020-11-04
1324108206801563650,2020-11-04
1324368202139357186,2020-11-05
1324386685858287616,2020-11-05
1324401527663058944,2020-11-05
1324541519873847296,2020-11-06
1324541695577436161,2020-11-06
1324541720583905286,2020-11-06
1324613181466173440,2020-11-06
1325065540390559745,2020-11-07
1325065546342264834,2020-11-07
1325065549559291910,2020-11-07
1325067488695099397,2020-11-07
1265255835124539392,2020-05-26
1265255845358645254,2020-05-26
1269086797226815490,2020-06-06
1273770669214490626,2020-06-19
1306557587375128576,2020-09-17
1306559853683445760,2020-09-17
1306562791894122504,2020-09-17
1306657377823993857,2020-09-17
1306749921173762049,2020-09-18
1309314144663986182,2020-09-25
1309455713882828802,2020-09-25
1310585397630689280,2020-09-28
1313848232716521473,2020-10-07
1324108200141082624,2020-11-04
1324927258679767042,2020-11-07
1324928993594896385,2020-11-07
1325099845045071873,2020-11-07
1325194709443080192,2020-11-07
1325432465415163904,2020-11-08
1325432469043236868,2020-11-08
1325432472985808897,2020-11-08
1325432476215500800,2020-11-08
1325442336957018112,2020-11-08
1325442345396039680,2020-11-08
1325563462433509376,2020-11-08
1325594474110726150,2020-11-09
1325594813522190343,2020-11-09
1325653065849073664,2020-11-09
1325889532840062976,2020-11-09
1325895380983275524,2020-11-09
1325918178208321537,2020-11-09
1325922164676104198,2020-11-09
1325956184613019648,2020-11-10
1325966661942435841,2020-11-10
1325967220757966852,2020-11-10
1325967327611981829,2020-11-10
1326186126709821440,2020-11-10
1326186297157963777,2020-11-10
1326315284169445376,2020-11-11
1326327582074220544,2020-11-11
1326347841476890627,2020-11-11
1326348976531136513,2020-11-11
1326353226749386757,2020-11-11
1326525851752656898,2020-11-11
1326630618831130624,2020-11-11
1326679385966047236,2020-11-12
1326711013593505794,2020-11-12
1326711675165270017,2020-11-12
1326739008597209089,2020-11-12
1326740844427304960,2020-11-12
1326740934164426752,2020-11-12
1326875863657361409,2020-11-12
1326894138516774913,2020-11-12
1326906607154900998,2020-11-12
1326907776216555523,2020-11-12
1326926226888544256,2020-11-12
1327095398712946695,2020-11-13
1327103335195938817,2020-11-13
1327279929319432200,2020-11-13
1327319294057848832,2020-11-13
1327350069947936768,2020-11-13
1327394148098461697,2020-11-13
1327407964404260870,2020-11-14
1327409017442988033,2020-11-14
1327413534901350400,2020-11-14
1327438487537246210,2020-11-14
1327441049908895744,2020-11-14
1327481814013906944,2020-11-14
1327619653020110850,2020-11-14
1327619654592892931,2020-11-14
1327704841964183552,2020-11-14
1327708998662025216,2020-11-14
1327715767916392449,2020-11-14
1327716728558772226,2020-11-14
1327717223142731779,2020-11-14
1327717286778638340,2020-11-14
1327717798789984257,2020-11-14
1327750127679889409,2020-11-14
1327836002631766016,2020-11-15
1327952603318194178,2020-11-15
1327956491056279552,2020-11-15
1327958640309972992,2020-11-15
1327960545929072645,2020-11-15
1327978710809661440,2020-11-15
1327979630477922304,2020-11-15
1328093294782509060,2020-11-15
1328152465016020993,2020-11-16
1328152466752491526,2020-11-16
1328200072987893762,2020-11-16
1328325907401093121,2020-11-16
1328328547598000130,2020-11-16
