tid,year
1347569870578266115,2021-01-08
1347555316863553542,2021-01-08
1347334804052844550,2021-01-08
1346954970910707712,2021-01-06
1346928882595885058,2021-01-06
1346912780700577792,2021-01-06
1346904110969315332,2021-01-06
1346900434540240897,2021-01-06
1346891760174329859,2021-01-06
1346845109736845318,2021-01-06
1346822958006886400,2021-01-06
1346822610957561858,2021-01-06
1346818855298072576,2021-01-06
1346809349214248962,2021-01-06
1346808075626426371,2021-01-06
1346805405998075905,2021-01-06
1346698217304584192,2021-01-06
1346694740968878080,2021-01-06
1346694608877740032,2021-01-06
1346693906990305280,2021-01-06
1346687404778921985,2021-01-06
1346687368812785664,2021-01-06
1346686979325521921,2021-01-06
1346686936568758275,2021-01-06
1346685023861272580,2021-01-06
1346659909492998146,2021-01-06
1346652589673345024,2021-01-06
1346649087857328128,2021-01-06
1346588064026685443,2021-01-05
1346583537256976385,2021-01-05
1346580318745206785,2021-01-05
1346578706437963777,2021-01-05
1346538317807034373,2021-01-05
1346533549013409794,2021-01-05
1346521447649390606,2021-01-05
1346520633669267457,2021-01-05
1346520497723498499,2021-01-05
1346520421278101505,2021-01-05
1346520352827039744,2021-01-05
1346488314157797389,2021-01-05
1346478482105069568,2021-01-05
1346472111603216385,2021-01-05
1346469204740902915,2021-01-05
1346304362730168320,2021-01-05
1346304329301504002,2021-01-05
1346304273425047553,2021-01-05
1346304227635834881,2021-01-05
1346300462899875840,2021-01-05
1346271579664220160,2021-01-05
1346267953042497537,2021-01-05
1346239227827265537,2021-01-04
1346120645613150208,2021-01-04
1346115128719245313,2021-01-04
1346112444108836864,2021-01-04
1346110956078817280,2021-01-04
1346105727488765952,2021-01-04
1345969395147923456,2021-01-04
1345967072006828033,2021-01-04
1345966975739191298,2021-01-04
1345966715721674752,2021-01-04
1345958851795951616,2021-01-04
1345839016848068608,2021-01-03
1345803569438597121,2021-01-03
1345798206471475204,2021-01-03
1345798202650460162,2021-01-03
1345778965064130563,2021-01-03
1345777194644209667,2021-01-03
1345753910850560003,2021-01-03
1345753858694373377,2021-01-03
1345753757179637761,2021-01-03
1345753654087843840,2021-01-03
1345753534168506370,2021-01-03
1345753264730599427,2021-01-03
1345753158581170176,2021-01-03
1345753106605367298,2021-01-03
1345753039165124610,2021-01-03
1345752835913359367,2021-01-03
1345752729713586183,2021-01-03
1345752303085760512,2021-01-03
1345751815258845184,2021-01-03
1345751784451661825,2021-01-03
1345751586002399233,2021-01-03
1345751517660381187,2021-01-03
1345751274386501633,2021-01-03
1345751094908121102,2021-01-03
1345751045364875264,2021-01-03
1345750833179328514,2021-01-03
1345750516475830273,2021-01-03
1345749709592342530,2021-01-03
1345736811906273282,2021-01-03
1345731043861659650,2021-01-03
1345723944654024706,2021-01-03
1345720107255926784,2021-01-03
1345717942978293762,2021-01-03
1345717227534868483,2021-01-03
1345714430634586113,2021-01-03
1345618259803045888,2021-01-03
1345617145116450817,2021-01-03
1345604625345490944,2021-01-03
1345598204486819840,2021-01-03
1345563812674473984,2021-01-03
1345563394569613314,2021-01-03
1345551634907209730,2021-01-03
1345539761314922505,2021-01-03
1345509505946234881,2021-01-02
1345509446936571905,2021-01-02
1345508977031974918,2021-01-02
1345503655387140096,2021-01-02
1345503555571097600,2021-01-02
1345503150745247746,2021-01-02
1345501585628155910,2021-01-02
1345500654694002688,2021-01-02
