memento-datetime,likes
2022-10-02T19:23:37Z,265549
2022-09-26T13:42:20Z,265497
2022-09-25T14:51:45Z,265500
2022-09-24T14:44:36Z,265478
2022-09-24T00:52:44Z,265330
2022-09-23T00:15:02Z,265214
2022-09-22T14:15:40Z,265222
2022-09-20T23:28:57Z,265276
2022-09-08T15:26:06Z,265547
2022-09-05T02:15:59Z,265592
2022-09-04T19:02:35Z,265562
2022-09-03T00:02:40Z,265379
2022-09-01T22:54:15Z,265396
2022-08-30T17:29:44Z,265329
2022-08-29T11:40:38Z,265301
2022-08-20T17:30:18Z,263593
2022-08-18T22:20:20Z,263456
2022-08-17T23:38:12Z,263458
2022-08-17T18:05:47Z,263410
2022-08-15T03:23:48Z,262710
2022-08-12T21:08:59Z,261488
2022-08-11T17:39:31Z,261704
2022-08-09T23:12:34Z,261737
2022-08-09T05:11:59Z,261580
2022-08-06T04:09:51Z,261458
2022-08-04T21:20:40Z,261489
2022-08-03T17:31:05Z,261713
2022-08-02T12:18:50Z,261558
2022-07-29T19:39:06Z,261646
2022-07-28T16:15:23Z,261445
2022-07-28T12:39:42Z,261622
2022-07-27T14:31:18Z,261440
2022-07-27T02:48:44Z,261367
2022-07-25T22:37:35Z,261417
2022-07-25T16:19:58Z,261426
2022-07-25T09:56:57Z,261443
2022-07-25T04:36:19Z,261648
2022-07-22T13:06:43Z,261503
2022-07-21T10:48:10Z,261527
2022-07-21T01:11:21Z,261535
2022-07-21T00:55:26Z,261729
2022-07-21T00:48:41Z,261729
2022-07-21T00:37:07Z,261534
2022-07-21T00:14:36Z,261533
2022-07-21T00:01:05Z,261728
2022-07-20T23:49:42Z,261728
2022-07-20T23:26:00Z,261727
2022-07-20T23:13:18Z,261531
2022-07-20T21:58:54Z,261744
2022-07-20T21:52:54Z,261744
2022-07-20T21:12:22Z,261743
2022-07-20T20:47:35Z,261741
2022-07-20T19:45:24Z,261747
2022-07-20T18:01:59Z,261742
2022-07-20T17:35:54Z,261739
2022-07-20T04:39:35Z,261756
2022-07-19T16:46:53Z,261780
2022-07-19T16:37:14Z,261780
2022-07-19T04:38:58Z,261795
2022-07-19T03:34:30Z,261795
2022-07-18T02:10:46Z,261799
2022-07-17T19:39:29Z,261760
2022-07-17T18:25:13Z,261770
2022-07-17T01:25:24Z,261570
2022-07-16T18:25:24Z,261566
2022-07-16T02:10:45Z,261612
2022-07-15T01:47:01Z,261680
2022-07-15T00:27:42Z,261647
2022-07-15T00:02:32Z,261652
2022-07-14T23:44:52Z,261652
2022-07-14T10:21:08Z,261847
2022-07-14T08:10:14Z,261666
2022-07-14T01:09:56Z,261638
2022-07-13T23:41:46Z,261655
2022-07-13T23:39:04Z,261655
2022-07-13T23:00:36Z,261655
2022-07-13T10:47:41Z,261640
2022-07-13T02:56:06Z,261665
2022-07-13T01:41:48Z,261855
2022-07-13T01:01:55Z,261655
2022-07-13T00:45:10Z,261671
2022-07-12T23:35:45Z,261670
2022-07-12T22:35:07Z,261670
2022-07-11T21:52:49Z,261742
2022-07-11T17:10:14Z,261707
2022-07-11T10:47:02Z,261719
2022-07-10T21:10:43Z,261747
2022-07-10T11:58:01Z,261728
2022-07-09T20:12:53Z,261743
2022-07-08T22:40:56Z,261763
2022-07-07T20:14:59Z,261950
2022-07-04T17:51:21Z,261528
2022-06-27T08:58:39Z,261366
2022-06-26T06:23:19Z,261182
2022-06-12T09:45:10Z,261311
2022-06-11T05:00:04Z,261087
2022-06-09T10:55:30Z,261287
2022-06-09T05:15:20Z,261080
2022-06-08T23:55:37Z,261093
2022-06-08T23:24:02Z,261291
2022-06-08T14:55:52Z,261113
2022-06-08T02:37:30Z,261106
2022-06-07T14:28:42Z,261128
2022-06-06T13:29:32Z,261341
2022-06-06T12:41:04Z,261339
2022-06-05T12:00:00Z,261383
2022-06-03T18:23:35Z,261390
2022-06-01T05:42:57Z,261322
2022-05-31T22:13:18Z,261165
2022-05-30T14:06:02Z,261367
2022-05-30T13:33:10Z,261166
2022-05-29T15:29:25Z,261411
2022-05-29T12:53:53Z,261406
2022-05-28T14:23:06Z,261433
2022-05-28T14:16:14Z,261208
2022-05-28T14:07:32Z,261432
2022-05-26T17:45:31Z,261442
2022-05-26T16:38:15Z,261432
2022-05-24T03:51:28Z,261248
2022-05-20T00:50:22Z,260498
2022-05-17T17:47:36Z,260555
2022-05-17T03:23:34Z,260746
2022-05-17T00:45:51Z,260534
2022-05-14T04:16:46Z,260514
2022-05-12T18:38:57Z,260436
2022-05-08T19:49:44Z,260413
2022-05-06T15:43:06Z,260647
2022-05-06T12:02:33Z,260614
2022-05-06T03:44:48Z,260630
2022-05-04T01:29:43Z,260504
2022-04-30T21:26:10Z,259876
2022-04-30T11:32:10Z,259115
2022-04-28T13:47:53Z,253879
2022-04-28T08:40:06Z,253613
2022-04-27T13:01:58Z,253520
2022-04-26T14:04:27Z,253504
2022-04-25T17:58:19Z,253919
2022-04-25T17:00:40Z,253693
2022-04-25T05:05:25Z,253856
2022-04-25T04:46:18Z,253649
2022-04-25T04:34:12Z,253650
2022-04-25T02:14:00Z,253859
2022-04-25T00:50:20Z,253666
2022-04-24T17:10:01Z,253695
2022-04-24T16:19:14Z,253877
2022-04-24T05:26:19Z,253643
2022-04-24T01:43:11Z,253835
2022-04-24T00:55:45Z,253833
2022-04-23T17:58:20Z,253652
2022-04-23T17:23:40Z,253845
2022-04-22T04:47:35Z,253607
2022-04-21T16:54:23Z,253814
2022-04-21T08:33:26Z,253821
2022-04-21T06:49:39Z,253808
2022-04-21T05:56:27Z,253820
2022-04-21T03:16:32Z,253602
2022-04-21T00:58:48Z,253600
2022-04-20T16:10:15Z,253606
2022-04-20T12:00:23Z,253819
2022-04-20T03:20:19Z,253595
2022-04-19T18:24:57Z,253603
2022-04-19T17:07:36Z,253578
